,Consumption emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.0,NaN,1.03232311487,NaN,NaN,NaN,NaN,NaN,39.642380312,1.29759229493,NaN,76.3391649713,24.8518650429,7.15951415584,NaN,2.53035359733,8.41205066757,NaN,18.3516415123,50.0119974118,NaN,0.510041727864,NaN,NaN,NaN,0.967,88.6197166418,NaN,NaN,10.5188943124,0.437498521447,NaN,0.73254092329,140.733680525,NaN,NaN,NaN,NaN,15.8975429122,807.738867242,15.7528339007,NaN,NaN,NaN,2.46899355343,1.68090382027,5.96480305504,NaN,2.4868123003,27.7344136301,NaN,NaN,16.9687560986,NaN,NaN,NaN,5.72994643355,34.7326045039,2.17858293694,NaN,NaN,4.91360191227,1.7522604743,NaN,NaN,NaN,NaN,19.1484644169,134.321562864,NaN,NaN,NaN,NaN,1.63247906691,278.229347884,2.23147784197,NaN,25.5239587753,NaN,NaN,NaN,3.29003147472,0.393049078174,NaN,NaN,NaN,1.87376142641,26.4211673256,19.4348845572,NaN,292.574993827,57.4658610146,NaN,14.0971854999,88.0005835374,18.7615768144,150.379815515,NaN,387.885579934,NaN,26.1045129303,2.97773111252,NaN,10.993269729,1.53392077492,0.349240200017,2.95095034108,NaN,NaN,NaN,NaN,5.94380630722,2.10464390567,NaN,NaN,0.753802336948,0.598132124266,25.2002588278,NaN,NaN,1.15604915606,NaN,NaN,NaN,1.1575858304,105.675457822,1.73728977721,NaN,NaN,10.8416149777,1.146387482,NaN,0.454,NaN,1.67841563684,NaN,49.5843880356,NaN,9.72361152649,1.23615588834,NaN,8.54685575803,NaN,10.0399180833,NaN,4.5783490024,28.860877897,NaN,1.5754646782,NaN,1.54852284861,9.023105309,23.196267781,2.9731300799,83.2498337145,19.9211350769,4.29478733816,0.886401651438,116.548377409,NaN,NaN,22.0635708778,292.183020836,0.242985303301,NaN,NaN,NaN,NaN,50.3921099607,1.04986284449,NaN,NaN,NaN,28.7079531989,12.5603417157,4.78871506254,NaN,NaN,75.8910583217,82.4194127344,3.74630346986,NaN,NaN,NaN,NaN,NaN,NaN,20.8272231765,27.4774388297,NaN,59.6104214499,NaN,43.3177847752,NaN,0.409881895785,NaN,NaN,4.98573229647,58.2236793715,NaN,NaN,0.664655107721,72.1803574217,18.5475498365,177.651201873,1.26449405497,1559.69037364,2.65763681643,NaN,NaN,32.2859558819,11.8705052432,NaN,NaN,NaN,0.922990339399,3.69604466294,3843.19812807,2528.53887193,3745.71915074,2625.23764075,1269.80763525,196.904431004,2026.45331422,36.3760583402,1712.29778151,287.614229993,1808.34392171,88.2064765317,215.537479337,216.405,21.858,6610.0
2000.0,NaN,1.06539755925,NaN,NaN,NaN,NaN,NaN,37.5421154973,1.08403606555,NaN,74.757541742,24.9301821056,6.81274237748,NaN,3.59083427715,9.54569900186,NaN,17.8961256096,50.7392906729,NaN,0.642622751694,NaN,NaN,NaN,2.68942242761,92.409459805,NaN,NaN,11.7069802347,0.367043014273,NaN,0.759826654609,145.360694639,NaN,NaN,NaN,NaN,15.9915154663,818.454657687,15.9052291782,NaN,NaN,NaN,2.42295167176,1.66003329126,5.76800577821,NaN,3.53577425661,30.1561414958,NaN,NaN,15.99575257,NaN,NaN,NaN,5.59476688544,36.1095255813,2.29954513909,NaN,NaN,4.76470117633,1.78772517126,NaN,NaN,NaN,NaN,19.0453272186,137.554302508,NaN,NaN,NaN,NaN,1.4785696325,280.571682661,2.0387537525,NaN,27.9796819334,NaN,NaN,NaN,3.60065393696,0.440742638922,NaN,NaN,NaN,2.10228856719,27.9453561338,19.4579809216,NaN,290.713740531,61.5425515902,NaN,14.4680600106,85.4746571159,18.6562674286,161.146478727,NaN,408.21590506,NaN,26.8514306029,2.54439436639,NaN,8.44902172005,1.22538927809,0.435356441119,3.03165631627,NaN,NaN,NaN,NaN,5.70442566393,1.89619395029,NaN,NaN,0.614019035373,0.518634288916,29.7122689491,NaN,NaN,1.17991448093,NaN,NaN,NaN,1.29758863006,110.660507785,1.71474106112,NaN,NaN,11.09945354,1.21352773454,NaN,1.59843874504,NaN,1.04767637345,NaN,49.6910017513,NaN,9.32515334072,1.30384783287,NaN,8.4682324631,NaN,8.32072973858,NaN,4.40787186124,30.6226713784,NaN,1.5475710551,NaN,1.41623195501,9.41731627698,25.0404721054,2.83380124237,80.435380451,21.0550149694,4.17263695675,1.09750623824,134.944564188,NaN,NaN,22.7706941183,295.081570071,0.207153671459,NaN,NaN,NaN,NaN,55.9906207119,1.2226422309,NaN,NaN,NaN,33.4500974508,12.4306915498,4.8198785065,NaN,NaN,73.786423917,87.3891064993,4.09804180981,NaN,NaN,NaN,NaN,NaN,NaN,21.4305682211,29.8053834343,NaN,66.772742972,NaN,45.2407786253,NaN,0.405575667576,NaN,NaN,5.36742190814,67.9769307811,NaN,NaN,0.621900039303,64.399069596,21.8782984637,179.010417795,1.28276047517,1635.10467221,2.36979730652,NaN,NaN,24.5558694904,13.304119875,NaN,NaN,NaN,1.14231158091,3.04072133544,3965.1860257,2595.7789743,3904.08770151,2656.01159043,1298.66528654,193.094423383,2102.20299648,39.2148817419,1737.21664102,300.483771998,1893.19940465,86.2305874474,209.313247673,221.625,-17.59,6765.0
2001.0,NaN,1.17270854557,NaN,NaN,NaN,NaN,NaN,34.6782894596,1.02767370619,NaN,73.9648281152,25.1917272704,6.84222052899,NaN,3.05822982595,11.6555805427,NaN,16.3326331568,50.166864701,NaN,0.736817607038,NaN,NaN,NaN,2.37862462383,91.1129912711,NaN,NaN,11.391240429,0.374202287122,NaN,0.937815265656,140.134128488,NaN,NaN,NaN,NaN,14.2621979912,856.579253603,15.6827978794,NaN,NaN,NaN,2.51198393935,1.80041177735,6.45289449356,NaN,3.21442243846,29.6424900953,NaN,NaN,16.1410778603,NaN,NaN,NaN,6.94933236011,31.8238733228,2.44471177831,NaN,NaN,4.75876427878,1.4638068439,NaN,NaN,NaN,NaN,19.4967569327,139.921579628,NaN,NaN,NaN,NaN,1.35019637724,279.126091104,2.17075099665,NaN,28.0199825328,NaN,NaN,NaN,3.87409063192,0.42295089296,NaN,NaN,NaN,2.29473000574,29.6085438484,19.2565678689,NaN,297.956379316,67.8427538604,NaN,14.7463378264,93.1172597931,19.856775932,155.513786044,NaN,394.163385238,NaN,33.1106450911,2.7226792773,NaN,9.56837058135,1.03135071882,0.396819596518,3.12337185018,NaN,NaN,NaN,NaN,5.62115964686,2.13799316372,NaN,NaN,0.629749275306,0.533806687499,31.7338463032,NaN,NaN,1.17337373767,NaN,NaN,NaN,1.2399986119,113.580891575,1.80303608232,NaN,NaN,11.7971745627,1.14783800632,NaN,1.72713101791,NaN,1.15161955664,NaN,49.529952564,NaN,9.39862987977,1.35744887256,NaN,12.5828878335,NaN,8.59929403421,NaN,4.35751112496,30.3047475608,NaN,1.6044729409,NaN,1.44029443315,8.43954846413,24.3912785069,2.68673544458,79.2319513599,21.0401858663,4.11634974695,1.21242143655,130.055992442,NaN,NaN,24.0813559197,320.027095567,0.245425574886,NaN,NaN,NaN,NaN,59.2554569423,1.27849200257,NaN,NaN,NaN,28.3738444763,12.5376330277,4.75888333818,NaN,NaN,68.2240114781,89.2676466174,4.24067587966,NaN,NaN,NaN,NaN,NaN,NaN,20.3414044817,26.8148316643,NaN,61.0781437363,NaN,47.1466848596,NaN,0.441830922842,NaN,NaN,5.32140767943,53.066175456,NaN,NaN,0.699520021771,73.8361806997,27.0293072041,180.837385907,1.40823143257,1608.05798737,2.10914223158,NaN,NaN,33.4633956557,14.9079962659,NaN,NaN,NaN,1.19114335344,2.86683893286,3948.15931607,2659.60468393,3833.62018066,2773.31594914,1296.72288098,191.373505939,2139.96213295,39.8184267403,1764.62107412,310.152386252,1863.89925832,85.6775430208,212.240033907,212.208,107.028,6927.0
2002.0,NaN,1.31284876026,NaN,NaN,NaN,NaN,NaN,22.109643546,1.01901021864,NaN,81.5922321067,25.4260793651,7.54191716272,NaN,2.74544666288,10.9825785072,NaN,16.7763352119,52.5766171393,NaN,0.808177571603,NaN,NaN,NaN,0.96744320974,87.4505191026,NaN,NaN,10.9002760514,0.401337254675,NaN,0.721802129831,143.758594947,NaN,NaN,NaN,NaN,15.4499305193,889.318154175,16.4203387948,NaN,NaN,NaN,3.2482963201,1.44008930862,6.82444254437,NaN,3.91210513314,30.3076354965,NaN,NaN,16.5317820233,NaN,NaN,NaN,7.94857374667,32.376744987,2.50433627794,NaN,NaN,5.2387073916,1.51059543657,NaN,NaN,NaN,NaN,19.876604804,139.975208864,NaN,NaN,NaN,NaN,1.2105453337,269.221202952,2.42908276908,NaN,28.3937363642,NaN,NaN,NaN,4.38605081623,0.454075700985,NaN,NaN,NaN,2.70805945704,24.9422492307,20.0345568356,NaN,300.680816921,75.1850165349,NaN,15.0290819289,88.8299265348,19.1876591523,158.677953509,NaN,395.201435891,NaN,33.3837578663,1.85041934351,NaN,10.2848922516,1.29143038549,0.518194605635,2.86217349617,NaN,NaN,NaN,NaN,6.21132413993,2.314357002,NaN,NaN,0.45440213898,0.578936535097,33.7359259278,NaN,NaN,1.04722892998,NaN,NaN,NaN,1.2342006488,113.588161796,1.92987641061,NaN,NaN,12.5163103299,1.21941161228,NaN,0.403229079678,NaN,1.07144991614,NaN,51.4503490487,NaN,9.6104500888,1.41371069019,NaN,16.3078037679,NaN,9.34783068813,NaN,5.52469035139,32.4818023297,NaN,1.65540507849,NaN,1.23465906631,9.01104321462,23.8178270724,2.80223931981,77.3472219201,21.8545661531,4.59977761469,1.22078210536,140.703203667,NaN,NaN,23.7788236677,324.63144288,0.241062912585,NaN,NaN,NaN,NaN,64.3299622542,1.71211726582,NaN,NaN,NaN,28.2622034109,12.5642482609,4.80464032907,NaN,NaN,65.3635647066,96.0953563798,4.80042854005,NaN,NaN,NaN,NaN,NaN,NaN,21.9857611787,24.9914589912,NaN,65.3104503924,NaN,47.5945594141,NaN,0.443379421213,NaN,NaN,5.60131939261,59.3642137917,NaN,NaN,0.692957989553,74.2375835002,24.7936455971,180.409680496,1.55178932548,1639.93503059,1.74250366869,NaN,NaN,29.2954231064,17.3657438397,NaN,NaN,NaN,1.1875559605,3.16973178118,4004.70440034,2706.94359966,3902.84554967,2808.09649702,1305.6517214,192.75305848,2201.01107105,40.318586862,1779.21281009,311.90772255,1897.91207685,93.6426534394,194.874751866,221.986,62.366,6996.0
2003.0,NaN,1.62168863154,NaN,NaN,NaN,NaN,NaN,29.2035764816,1.10926913571,NaN,83.9468236221,25.9520767087,8.92459618821,NaN,3.7775867394,13.1973415687,NaN,17.7452665422,53.3221144379,NaN,0.993668927514,NaN,NaN,NaN,3.55058172597,83.5652701503,NaN,NaN,11.1204963935,0.513404241747,NaN,1.43505606327,143.411293421,NaN,NaN,NaN,NaN,14.4961493953,1052.00621191,16.1077258228,NaN,NaN,NaN,2.84717929453,1.99075435229,7.48268675299,NaN,2.94100203992,30.2246018824,NaN,NaN,17.680058925,NaN,NaN,NaN,8.12502805047,37.518956621,2.55432649741,NaN,NaN,5.70652561691,1.80849533339,NaN,NaN,NaN,NaN,22.2833360697,141.538496585,NaN,NaN,NaN,NaN,1.54546104563,275.075065476,2.95350342431,NaN,23.5836392701,NaN,NaN,NaN,3.84028030948,0.528265446957,NaN,NaN,NaN,2.52015476479,24.9955136825,22.5901156524,NaN,321.694226277,78.8851752044,NaN,16.6057001432,108.840929354,21.9015989995,159.85267457,NaN,401.955112699,NaN,35.9606453585,2.74164881972,NaN,12.832552128,1.67955157738,0.468606395162,3.89489658766,NaN,NaN,NaN,NaN,6.38336739988,2.72068378673,NaN,NaN,0.839997265162,0.567858407971,37.0739509873,NaN,NaN,1.38943964066,NaN,NaN,NaN,1.35689358853,119.830733405,2.28446512028,NaN,NaN,11.6681316302,1.36425918932,NaN,1.45607846243,NaN,1.42155246362,NaN,50.1641148041,NaN,9.99088855486,1.58958140217,NaN,15.647023625,NaN,11.2685459291,NaN,7.6383308837,34.3037156837,NaN,-0.0928485874794,NaN,1.44509787761,8.20115511204,24.9594641656,3.48290863044,77.6148626671,20.7407268488,5.00240390235,1.49296221612,143.384569472,NaN,NaN,25.1892520593,328.660012491,0.233879035563,NaN,NaN,NaN,NaN,70.7049969653,1.609290555,NaN,NaN,NaN,29.5909784907,12.2299890863,4.95814162897,NaN,NaN,71.0295908187,98.0099800489,4.55496812797,NaN,NaN,NaN,NaN,NaN,NaN,23.0191058304,27.7696279846,NaN,67.4319099038,NaN,54.8486861064,NaN,0.635513588836,NaN,NaN,5.60273830035,64.2541464627,NaN,NaN,0.833746959022,71.8294205875,33.4102030371,185.189769426,1.8256950738,1647.86576258,1.9179212182,NaN,NaN,35.362215877,23.3848034002,NaN,NaN,NaN,1.20992557695,2.92196382047,4050.66847429,3042.87352571,3959.13703198,3133.56646024,1327.46292034,217.701997228,2434.26550489,45.3377725408,1810.74568181,372.244219569,1913.26013774,96.7142350833,203.267808693,224.041,98.417,7416.0
2004.0,NaN,1.64542186515,NaN,NaN,NaN,NaN,NaN,34.4743717319,1.11416019662,NaN,85.7827938988,26.3929658974,9.17962937937,NaN,4.03093598803,14.4851034908,NaN,18.7743346277,59.3644454956,NaN,0.970604384789,NaN,NaN,NaN,2.67812807488,87.1382639799,NaN,NaN,11.5995545662,0.536984551441,NaN,1.57221360248,148.565186179,NaN,NaN,NaN,NaN,15.3917509861,1188.29540158,15.7523722208,NaN,NaN,NaN,2.89688373755,2.13226992008,7.2760337751,NaN,2.60314877596,29.6304179504,NaN,NaN,18.1409171953,NaN,NaN,NaN,8.63729482288,35.3420234534,2.52359995643,NaN,NaN,4.75731433256,1.95813402366,NaN,NaN,NaN,NaN,23.5738316802,150.550215198,NaN,NaN,NaN,NaN,1.80352044285,278.294130344,3.24451615334,NaN,23.2560792528,NaN,NaN,NaN,4.22145069386,0.540250218915,NaN,NaN,NaN,2.51628269466,23.477748681,21.3754277448,NaN,342.114366227,84.0633077702,NaN,17.4169943366,115.17655282,21.1196303533,165.699105863,NaN,411.938901384,NaN,39.3001244452,3.10530877434,NaN,12.7571264843,1.83433785875,0.554197188502,3.71130223491,NaN,NaN,NaN,NaN,6.39780711037,3.33717418339,NaN,NaN,0.686820711837,0.560996703828,39.1429848034,NaN,NaN,1.03130376632,NaN,NaN,NaN,1.43912416293,120.003599491,2.30591164194,NaN,NaN,13.2165590942,1.31940041561,NaN,2.03040026345,NaN,1.2500229867,NaN,50.6207003842,NaN,10.612393747,1.61083492077,NaN,19.0859899035,NaN,11.046065136,NaN,6.36416981865,38.4190194508,NaN,0.248702898916,NaN,1.53791475628,9.12802172148,24.9192975776,3.11817229961,75.5251408045,21.862623815,5.36599122691,1.41554341684,148.400927687,NaN,NaN,26.365109191,331.882205633,0.220847504928,NaN,NaN,NaN,NaN,80.1693009815,1.6843671783,NaN,NaN,NaN,31.5971445733,12.2616131971,4.87748578477,NaN,NaN,82.8621780466,106.861820738,4.96682601898,NaN,NaN,NaN,NaN,NaN,NaN,23.8505807719,29.7766559037,NaN,77.6451211234,NaN,61.1394987855,NaN,0.674162628069,NaN,NaN,5.94852904322,69.8746626331,NaN,NaN,0.886184439434,65.4118057277,37.5290853369,191.723227007,2.0101714868,1706.02436932,2.13511217121,NaN,NaN,31.3122860461,26.0806466563,NaN,NaN,NaN,1.18137296428,2.86541413002,4166.65411695,3295.57888305,4087.90914869,3373.43213013,1368.3564714,233.802715385,2643.16074395,42.3081216093,1854.28629419,404.367262264,1975.25412555,99.1031548437,209.942992595,243.514,101.253,7807.0
2005.0,NaN,1.72536454799,NaN,NaN,NaN,NaN,NaN,36.7490690265,1.33255744745,NaN,86.4669486985,26.6626116174,9.07607070506,NaN,4.7130310597,13.6598430797,NaN,17.3968120584,57.7281899014,NaN,1.29057389135,NaN,NaN,NaN,2.16456586402,92.0312465667,NaN,NaN,13.1567838066,0.402111799553,NaN,1.95945713735,154.29620816,NaN,NaN,NaN,NaN,16.5614781132,1275.32587361,17.7657745702,NaN,NaN,NaN,3.08485766604,2.48284604898,7.58483684461,NaN,2.69232333248,29.0216842399,NaN,NaN,17.5210978748,NaN,NaN,NaN,9.07186821598,40.9995017803,2.48275353764,NaN,NaN,4.81009229543,2.1504026279,NaN,NaN,NaN,NaN,21.164402432,149.304007229,NaN,NaN,NaN,NaN,2.02237913913,271.80206371,3.31804873005,NaN,24.0581845716,NaN,NaN,NaN,4.47565050705,0.550651023591,NaN,NaN,NaN,2.75808902325,25.872039128,21.7950703809,NaN,350.225682468,86.0777923062,NaN,17.9604472598,118.0215492,20.6030484821,167.160950631,NaN,409.999250147,NaN,41.590817316,3.48351559089,NaN,13.4187077159,2.13309434476,0.565913919908,3.44972883401,NaN,NaN,NaN,NaN,6.52351513323,3.8204606113,NaN,NaN,0.886746052872,0.564973473428,41.0405387264,NaN,NaN,1.27573058186,NaN,NaN,NaN,1.38413354787,130.864202776,2.40651462416,NaN,NaN,14.5977240626,1.48351072351,NaN,1.95485185024,NaN,1.34245709313,NaN,50.8727734852,NaN,10.8384957115,1.63025419613,NaN,20.7245299815,NaN,11.391212399,NaN,6.65228701459,41.3968474837,NaN,-0.488183504746,NaN,1.51294880222,10.2662936936,25.9906016496,2.92802908987,76.2768241058,22.6265568856,6.85716217335,1.50894442696,154.36084616,NaN,NaN,27.4768507202,336.131112135,0.240576480299,NaN,NaN,NaN,NaN,79.1983570057,1.92043302721,NaN,NaN,NaN,38.6331782947,12.5383279869,4.96631996849,NaN,NaN,77.9076909072,113.6080698,5.27072934248,NaN,NaN,NaN,NaN,NaN,NaN,23.3902834402,31.2344658026,NaN,75.893919917,NaN,64.6040247724,NaN,0.829459384362,NaN,NaN,5.82176205465,75.5605314,NaN,NaN,1.04067785571,71.6998785753,42.2965480691,189.919194174,2.47675222459,1716.94871081,2.28731098863,NaN,NaN,32.8802375233,28.3298013414,NaN,NaN,NaN,1.2500184633,2.96895037584,4195.21013602,3470.88486398,4126.13301126,3538.9574631,1369.16738185,242.21969833,2766.94734063,44.6496926619,1864.78950549,421.018577232,2002.67107709,100.284421359,223.502207634,254.717,172.188,8093.0
2006.0,NaN,1.62181040748,NaN,NaN,NaN,NaN,NaN,40.962084342,1.4539718895,NaN,91.6273665973,27.2379671607,8.63171947224,NaN,4.44019749463,16.2224087712,NaN,19.389179467,59.77679411,NaN,1.79402993757,NaN,NaN,NaN,2.13540059863,94.6575001406,NaN,NaN,13.1639075928,0.488163829464,NaN,2.21577261522,150.017674323,NaN,NaN,NaN,NaN,17.7925756125,1366.97423317,18.8527126521,NaN,NaN,NaN,3.17492200156,2.49152489952,8.14657333755,NaN,2.59073126309,32.1079457828,NaN,NaN,18.8972070848,NaN,NaN,NaN,9.21513972776,43.1884540371,2.56071398654,NaN,NaN,5.12187746544,2.29819180348,NaN,NaN,NaN,NaN,24.5184204943,145.7684688,NaN,NaN,NaN,NaN,2.5581124791,278.625116125,3.70586968058,NaN,25.2593162213,NaN,NaN,NaN,4.65415687515,0.553436237859,NaN,NaN,NaN,2.5549759412,27.2062568255,22.6041584953,NaN,384.054426473,88.3835904,NaN,18.0084814564,126.34955796,22.1073530141,172.528422115,NaN,404.852200288,NaN,46.5306546286,3.94731250332,NaN,14.5776302644,2.91802153335,0.715567370697,3.74634505625,NaN,NaN,NaN,NaN,6.85034503319,4.13104640647,NaN,NaN,0.868437759084,0.626120370327,40.627607021,NaN,NaN,1.40461597315,NaN,NaN,NaN,1.45831569964,133.319475247,2.72321182937,NaN,NaN,14.7418531513,1.51945098323,NaN,2.08417005979,NaN,1.22183655443,NaN,56.7775916158,NaN,10.2296977879,1.64867760201,NaN,12.3385578916,NaN,12.2058656345,NaN,9.27320360203,44.3330692619,NaN,-0.457659219134,NaN,1.678386955,9.98318926561,24.1404696311,3.44069347458,82.1817696474,20.9324792589,7.43815226335,1.58797238461,162.412993668,NaN,NaN,32.3821635665,346.777302042,0.229356043435,NaN,NaN,NaN,NaN,94.4910745951,1.71353298572,NaN,NaN,NaN,44.2238586737,13.4975883387,5.63785905023,NaN,NaN,84.5280745512,117.484245092,4.96974616762,NaN,NaN,NaN,NaN,NaN,NaN,23.8595347161,29.1947161571,NaN,75.1999754163,NaN,63.9913240401,NaN,0.900053057904,NaN,NaN,6.15993134271,81.3963149024,NaN,NaN,1.22953809518,68.5055639812,43.2427524442,193.382123135,2.65181435647,1709.22703326,2.44012795291,NaN,NaN,30.7452274102,30.6400732849,NaN,NaN,NaN,1.4651764866,2.94419075128,4236.36394267,3684.08605733,4172.72167906,3746.6295455,1416.62309439,252.223911141,2917.58834808,45.6437606463,1917.86248839,457.591541719,1993.40251678,104.861771431,231.264497476,267.901,181.649,8370.0
2007.0,NaN,1.69529975944,NaN,NaN,NaN,NaN,NaN,43.7906432075,1.63871672334,NaN,94.8442359606,26.1167251641,8.14646497122,NaN,5.11869614763,17.1546444549,NaN,20.3092093707,60.2383202726,NaN,1.86892678561,NaN,NaN,NaN,2.79406831174,101.937452875,NaN,NaN,14.2285773541,0.57861169809,NaN,2.44226638395,157.080818634,NaN,NaN,NaN,NaN,18.9601806224,1453.2101504,19.8136497434,NaN,NaN,NaN,3.48339239314,2.33602718968,8.23477286323,NaN,2.96252140092,33.0860648243,NaN,NaN,17.8012650783,NaN,NaN,NaN,9.71877294637,47.1884587872,2.5851270112,NaN,NaN,5.34745860577,2.23842956875,NaN,NaN,NaN,NaN,24.493636064,151.947746831,NaN,NaN,NaN,NaN,2.75291396727,262.60215674,4.07788281192,NaN,24.3305105725,NaN,NaN,NaN,4.69191609453,0.590182839581,NaN,NaN,NaN,3.08240007819,22.7755080034,21.8691256398,NaN,410.68371377,97.2698320538,NaN,18.0477111406,137.302357729,22.2255305377,168.687667653,NaN,405.953809354,NaN,52.9158798604,4.12848087191,NaN,16.2971873389,1.96802775177,0.763897730249,4.20651102037,NaN,NaN,NaN,NaN,6.62764491353,2.63228722786,NaN,NaN,1.00887628115,0.602925664367,45.5222461821,NaN,NaN,1.15209870089,NaN,NaN,NaN,1.40195572693,131.302162829,2.83382715174,NaN,NaN,15.4114859072,1.77743595137,NaN,2.48012412184,NaN,1.33266128042,NaN,45.3737916906,NaN,10.6120644188,1.7112257629,NaN,18.6594329056,NaN,13.3272296351,NaN,10.5898610625,47.0169513895,NaN,0.0198498748201,NaN,1.77792979483,11.7020140016,24.6414261449,3.04184007457,84.6391360692,20.4140866952,9.27808668956,1.84540981922,169.229164331,NaN,NaN,29.8782281334,369.853452285,0.251328679155,NaN,NaN,NaN,NaN,88.3202348612,1.92409066559,NaN,NaN,NaN,29.7111585202,13.4129961517,5.75344489539,NaN,NaN,86.0925811531,120.451734545,5.04885539518,NaN,NaN,NaN,NaN,NaN,NaN,24.1254259506,32.4400294511,NaN,80.2116211474,NaN,64.084454174,NaN,1.29397806652,NaN,NaN,6.14592535637,91.4011990401,NaN,NaN,1.29114574295,72.5019557479,52.2056620634,193.516930672,2.61075335236,1720.70356574,2.44724823489,NaN,NaN,35.4109191878,34.7393384025,NaN,NaN,NaN,1.53394497869,3.11350903682,4266.46451991,3885.24348009,4192.96821304,3957.65638504,1392.17857687,272.144263833,3052.23940926,46.2317077106,1929.96897476,483.116198113,2009.89700548,107.958569755,250.141502475,279.809,134.483,8566.0
2008.0,NaN,1.79827362728,NaN,NaN,NaN,NaN,NaN,46.7751931166,1.84357208426,NaN,93.4957601746,25.9149801317,8.98253667266,NaN,4.41320907575,16.1880477107,NaN,22.2889456725,60.785875248,NaN,2.12319521586,NaN,NaN,NaN,3.38450011354,113.983124738,NaN,NaN,14.512995529,0.608189682541,NaN,2.6869629454,153.302245664,NaN,NaN,NaN,NaN,21.1023668964,1542.10364961,20.7297611626,NaN,NaN,NaN,3.8144142102,2.55476994589,8.20843701716,NaN,3.35065829195,34.0496956875,NaN,NaN,17.2260474729,NaN,NaN,NaN,9.50844564312,49.0352745974,2.59883603283,NaN,NaN,4.83567164993,2.63589104738,NaN,NaN,NaN,NaN,23.1654557275,150.761114713,NaN,NaN,NaN,NaN,2.75286377749,258.821391247,4.02495245763,NaN,25.2005694708,NaN,NaN,NaN,4.65143891495,0.631482482548,NaN,NaN,NaN,2.96863152002,20.7396640784,22.5253730669,NaN,456.246119626,108.747475712,NaN,16.5101572086,144.272257902,23.8257316199,171.150967363,NaN,405.253158832,NaN,51.9024721066,4.30631404491,NaN,16.7890355411,1.85613772328,0.842748551465,4.03068057552,NaN,NaN,NaN,NaN,6.39714241609,2.66879837528,NaN,NaN,1.22997075581,0.794354266734,49.0945548808,NaN,NaN,1.89511730147,NaN,NaN,NaN,1.53859827087,136.198650181,3.12023088492,NaN,NaN,15.7878157563,2.06525064335,NaN,2.85801949444,NaN,1.50535492297,NaN,41.9606603078,NaN,10.6753969587,1.58049765122,NaN,17.751905963,NaN,13.2533567403,NaN,10.7234950369,46.6966816142,NaN,0.945781654662,NaN,2.16209656063,13.1449718313,26.8024652894,3.37545202622,87.1970928663,19.9342404318,9.6741845384,1.96072121376,171.619010814,NaN,NaN,30.2149527631,374.199538511,0.283462621401,NaN,NaN,NaN,NaN,93.9102056436,2.09793331609,NaN,NaN,NaN,26.9226579319,14.4728636684,6.08703882768,NaN,NaN,83.9514055397,112.209079256,5.59199241134,NaN,NaN,NaN,NaN,NaN,NaN,24.2014619187,33.2941589667,NaN,66.4835811795,NaN,65.8718618126,NaN,1.09786666954,NaN,NaN,6.99535225458,91.5587474576,NaN,NaN,1.39000622913,74.313908651,61.5019588003,185.739349958,3.13662264766,1649.22056575,3.00883941903,NaN,NaN,38.6060077669,38.3478431908,NaN,NaN,NaN,2.02819316819,2.74309882921,4176.74785896,4110.91014104,4108.21703465,4178.48328953,1374.02786849,282.139497193,3196.34358777,48.894048035,1923.45119706,515.252719548,1939.46337156,108.10206052,274.003506763,280.09,215.252,8783.0
